epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1416.62,1.34944,5.13178,1.29861,0.42584,0.08778,0.05522,0.04342,1.19802,4.70908,1.13621,6.50417e-05,6.50417e-05,6.50417e-05
2,2573.99,1.21824,4.17008,1.15017,0.35639,0.21425,0.1881,0.14421,1.12264,3.79225,1.10531,0.000129084,0.000129084,0.000129084
3,3881.96,1.14796,3.49868,1.1194,0.36956,0.32462,0.3092,0.23715,1.08152,3.24224,1.07586,0.000191833,0.000191833,0.000191833
4,5061.74,1.13312,2.97894,1.10055,0.58384,0.42254,0.4603,0.35661,1.02788,2.73354,1.0526,0.000190179,0.000190179,0.000190179
5,6231.13,1.07343,2.6448,1.08376,0.62656,0.52608,0.55558,0.42283,1.02073,2.44026,1.06027,0.000188238,0.000188238,0.000188238
6,7403.87,1.06698,2.40261,1.06565,0.68478,0.54904,0.60831,0.47257,0.98301,2.24287,1.03818,0.000186298,0.000186298,0.000186298
7,8560.6,1.01263,2.1641,1.04459,0.80198,0.55112,0.66241,0.5122,0.95285,2.04936,1.02952,0.000184358,0.000184358,0.000184358
8,9721.2,1.01137,2.0454,1.03974,0.79537,0.61254,0.69126,0.53442,0.94626,1.91477,1.0089,0.000182417,0.000182417,0.000182417
9,10913.6,0.97417,1.88856,1.02804,0.82929,0.61369,0.7047,0.55176,0.91711,1.87278,0.99736,0.000180477,0.000180477,0.000180477
10,12075.5,0.95925,1.81495,1.02029,0.8489,0.63944,0.72881,0.57543,0.90316,1.77791,0.98399,0.000178536,0.000178536,0.000178536
11,13273.4,0.95333,1.76518,1.01015,0.84571,0.65386,0.73929,0.5814,0.90094,1.70126,0.99112,0.000176596,0.000176596,0.000176596
12,14444.5,0.94546,1.63898,1.00753,0.81887,0.69507,0.76147,0.59658,0.90692,1.65364,0.98846,0.000174656,0.000174656,0.000174656
13,15631.9,0.93076,1.6236,1.00595,0.85273,0.67815,0.76065,0.60644,0.86501,1.6056,0.97501,0.000172715,0.000172715,0.000172715
14,16845.7,0.90545,1.53973,1.00042,0.84476,0.6852,0.77167,0.60922,0.87143,1.55185,0.97553,0.000170775,0.000170775,0.000170775
15,18011.9,0.91447,1.52678,0.99512,0.83666,0.73405,0.78571,0.6202,0.87702,1.49739,0.97663,0.000168834,0.000168834,0.000168834
16,19170.1,0.90114,1.4556,0.99886,0.83416,0.73272,0.79031,0.62254,0.86745,1.47778,0.97241,0.000166894,0.000166894,0.000166894
17,20365.3,0.88706,1.40591,0.9812,0.85415,0.73373,0.79722,0.62229,0.87522,1.43921,0.97167,0.000164954,0.000164954,0.000164954
18,21537.9,0.87173,1.3592,0.98062,0.89348,0.72952,0.79391,0.62527,0.88055,1.42848,0.96635,0.000163013,0.000163013,0.000163013
19,22697.2,0.88826,1.35692,0.97571,0.89992,0.70741,0.79491,0.63096,0.84901,1.41065,0.96648,0.000161073,0.000161073,0.000161073
20,23847.3,0.86465,1.29267,0.97789,0.844,0.7348,0.80473,0.63344,0.85823,1.35747,0.95435,0.000159132,0.000159132,0.000159132
21,24986.3,0.84847,1.27165,0.96505,0.8814,0.72354,0.81133,0.64228,0.84807,1.35,0.96308,0.000157192,0.000157192,0.000157192
22,26190.6,0.85913,1.23944,0.971,0.88118,0.74816,0.81736,0.64731,0.84325,1.31585,0.95581,0.000155252,0.000155252,0.000155252
23,27364.6,0.83077,1.18398,0.96014,0.90165,0.74686,0.8172,0.64901,0.8434,1.28685,0.95429,0.000153311,0.000153311,0.000153311
24,28621.8,0.81425,1.17706,0.95838,0.8742,0.75924,0.80895,0.64698,0.83554,1.2964,0.95345,0.000151371,0.000151371,0.000151371
25,29774.4,0.82869,1.16312,0.95752,0.87618,0.77079,0.82102,0.65496,0.82378,1.26373,0.94749,0.00014943,0.00014943,0.00014943
26,30928.3,0.83332,1.16756,0.96305,0.89972,0.7536,0.82281,0.65553,0.83824,1.221,0.95915,0.00014749,0.00014749,0.00014749
27,32068.5,0.80702,1.12276,0.95071,0.87563,0.76793,0.83027,0.65651,0.84177,1.22122,0.95659,0.00014555,0.00014555,0.00014555
28,33259.4,0.7921,1.06931,0.94501,0.90922,0.75652,0.82787,0.6603,0.82938,1.18488,0.95065,0.000143609,0.000143609,0.000143609
29,34395.7,0.80184,1.07777,0.95502,0.90108,0.77038,0.82879,0.66324,0.82625,1.18194,0.95091,0.000141669,0.000141669,0.000141669
30,35535.5,0.80746,1.05065,0.95222,0.89947,0.75113,0.82464,0.65602,0.83074,1.17283,0.95366,0.000139728,0.000139728,0.000139728
31,36757.1,0.78576,1.03641,0.94527,0.91739,0.77057,0.83363,0.67063,0.81206,1.11883,0.94696,0.000137788,0.000137788,0.000137788
32,37945.6,0.81275,1.05221,0.9417,0.88889,0.76909,0.82922,0.66077,0.8243,1.13846,0.94957,0.000135848,0.000135848,0.000135848
33,39109.2,0.78942,0.99694,0.94419,0.89373,0.77954,0.83444,0.66689,0.81601,1.13106,0.94546,0.000133907,0.000133907,0.000133907
34,40279,0.78372,0.99506,0.94895,0.91586,0.76634,0.83249,0.66928,0.80125,1.10395,0.94473,0.000131967,0.000131967,0.000131967
35,41437.6,0.78677,0.96286,0.94077,0.92345,0.75784,0.8362,0.67269,0.8118,1.09525,0.94868,0.000130026,0.000130026,0.000130026
36,42586.9,0.76276,0.93826,0.93327,0.90604,0.77937,0.83653,0.66829,0.81615,1.07673,0.94699,0.000128086,0.000128086,0.000128086
37,43761.6,0.77038,0.94525,0.94139,0.90955,0.78387,0.8376,0.67207,0.80759,1.07841,0.94035,0.000126146,0.000126146,0.000126146
38,44930.3,0.77164,0.93091,0.93573,0.91027,0.77028,0.83602,0.67337,0.80502,1.07217,0.94108,0.000124205,0.000124205,0.000124205
39,46141.4,0.77013,0.92514,0.93498,0.92645,0.77293,0.84119,0.68039,0.80235,1.0474,0.93947,0.000122265,0.000122265,0.000122265
40,47318.1,0.7621,0.89647,0.92914,0.90201,0.7848,0.84085,0.67843,0.80138,1.04571,0.93768,0.000120324,0.000120324,0.000120324
41,48491.8,0.75785,0.89041,0.92789,0.90414,0.78259,0.84479,0.68134,0.7959,1.01688,0.93897,0.000118384,0.000118384,0.000118384
42,49704.3,0.75095,0.87884,0.92976,0.90632,0.78805,0.83871,0.6777,0.79942,1.02192,0.94005,0.000116444,0.000116444,0.000116444
43,50890.6,0.75061,0.87322,0.92503,0.89888,0.78974,0.83998,0.67889,0.79446,1.02658,0.9388,0.000114503,0.000114503,0.000114503
44,52041,0.73722,0.85492,0.92304,0.92824,0.78047,0.84834,0.68032,0.80305,1.0053,0.93654,0.000112563,0.000112563,0.000112563
45,53194.3,0.74249,0.8572,0.92387,0.91617,0.78725,0.84659,0.68174,0.79341,0.98963,0.93313,0.000110622,0.000110622,0.000110622
46,54359.8,0.71818,0.82896,0.92256,0.93363,0.77624,0.8469,0.68885,0.79111,0.97888,0.94165,0.000108682,0.000108682,0.000108682
47,55532.1,0.72588,0.83393,0.92573,0.93271,0.78074,0.84613,0.68006,0.80755,0.98108,0.94192,0.000106742,0.000106742,0.000106742
48,56674.6,0.73224,0.82914,0.92502,0.92152,0.76583,0.84048,0.68067,0.79204,0.96924,0.93648,0.000104801,0.000104801,0.000104801
49,57835.5,0.7364,0.81445,0.92019,0.92926,0.77543,0.84336,0.67955,0.80083,0.97241,0.94242,0.000102861,0.000102861,0.000102861
50,59067.4,0.73612,0.81404,0.92526,0.92573,0.77944,0.8456,0.68061,0.79726,0.95435,0.93967,0.00010092,0.00010092,0.00010092
51,60402.4,0.72352,0.80049,0.91997,0.92672,0.78565,0.84989,0.68372,0.79394,0.94258,0.94044,9.898e-05,9.898e-05,9.898e-05
52,61671.1,0.73033,0.81357,0.92352,0.91812,0.78851,0.84988,0.68586,0.79083,0.9516,0.93602,9.70396e-05,9.70396e-05,9.70396e-05
53,62957.3,0.71041,0.78297,0.9143,0.91784,0.79409,0.84639,0.68428,0.7898,0.94548,0.93696,9.50992e-05,9.50992e-05,9.50992e-05
54,64229.7,0.73646,0.79722,0.92342,0.91054,0.79703,0.84847,0.68493,0.79694,0.93851,0.94457,9.31588e-05,9.31588e-05,9.31588e-05
55,65424.7,0.71723,0.77516,0.91461,0.90261,0.79813,0.8483,0.68501,0.79261,0.92206,0.93621,9.12184e-05,9.12184e-05,9.12184e-05
56,66695.4,0.71308,0.75933,0.91949,0.91776,0.79281,0.84954,0.68724,0.78961,0.91682,0.93852,8.9278e-05,8.9278e-05,8.9278e-05
